Timingchain (UnityEngine.GameObject) | Data | Time | 0
Speaker (UnityEngine.GameObject) | Settings | DistortionLevel | 0.5
Speaker (UnityEngine.GameObject) | Settings | Volume | 1
REPAIRSHOP (UnityEngine.GameObject) | LOD | Distance | 1702.063
REPAIRSHOP (UnityEngine.GameObject) | LOD | LOD | 400
Suspension (UnityEngine.GameObject) | Suspension | FrontBump | 1000
Suspension (UnityEngine.GameObject) | Suspension | FrontRate | 16000
Suspension (UnityEngine.GameObject) | Suspension | FrontRebound | 1000
Suspension (UnityEngine.GameObject) | Suspension | RearBump | 1000
Suspension (UnityEngine.GameObject) | Suspension | RearRate | 16000
Suspension (UnityEngine.GameObject) | Suspension | RearRebound | 1000
Suspension (UnityEngine.GameObject) | Suspension | TightStrutFL | 5700000
Suspension (UnityEngine.GameObject) | Suspension | TightStrutFR | 5700000
Suspension (UnityEngine.GameObject) | Suspension | TightTrailArmRL | 1.9E+07
Suspension (UnityEngine.GameObject) | Suspension | TightTrailArmRR | 1.9E+07
Bucket Seat Driver (UnityEngine.GameObject) | Data | Time | 0
Channel1 (UnityEngine.GameObject) | Update | Volume | 0
CD_player (UnityEngine.GameObject) | Data | Time | 0
OpenCap (UnityEngine.GameObject) | Screw | Rot | 359
OpenCap (UnityEngine.GameObject) | Screw | ScrewAmount | 33
OpenCap (UnityEngine.GameObject) | Screw | Scroll | 0
Starter (UnityEngine.GameObject) | Use | Distance | 0
ClutchPressureplate (UnityEngine.GameObject) | Data | Time | 0
throttle linkage(xxxxx) (UnityEngine.GameObject) | Screw | Throttle | 0
WheelRacingFL (UnityEngine.GameObject) | Data | SettingRimRadius | 0.175
WheelRacingFL (UnityEngine.GameObject) | Data | SettingTireRadius | 0
WheelRacingFL (UnityEngine.GameObject) | Data | SettingTireWidth | 0
SpeakerDash (UnityEngine.GameObject) | Settings | DistortionLevel | 0.5
SpeakerDash (UnityEngine.GameObject) | Settings | Volume | 1
Folk (UnityEngine.GameObject) | Update | Volume | 0
WheelSpokeRL (UnityEngine.GameObject) | Data | SettingRimRadius | 0.175
WheelSpokeRL (UnityEngine.GameObject) | Data | SettingTireRadius | 0
WheelSpokeRL (UnityEngine.GameObject) | Data | SettingTireWidth | 0
Water (UnityEngine.GameObject) | Level | Level | 0.3448276
Water (UnityEngine.GameObject) | Level | Scale | 1
Water (UnityEngine.GameObject) | Level | Water | 30
Speaker (UnityEngine.GameObject) | Settings | DistortionLevel | 0.5
Speaker (UnityEngine.GameObject) | Settings | Volume | 1
Clock (UnityEngine.GameObject) | Time | Hours24X | -0.1
Clock (UnityEngine.GameObject) | Time | Minutes24X | -1.2
Valvecover (UnityEngine.GameObject) | Data | Time | 0
BrakeMasterCylinder (UnityEngine.GameObject) | Data | BrakeFluidF | 0.8668795
BrakeMasterCylinder (UnityEngine.GameObject) | Data | BrakeFluidR | 0.8668795
FluidTrigger (UnityEngine.GameObject) | Data | Fluid | 0
FluidTrigger (UnityEngine.GameObject) | Data | Mass | 3
FluidTrigger (UnityEngine.GameObject) | Data | X | 270
Starter (UnityEngine.GameObject) | Use | DashVolume | 0
Starter (UnityEngine.GameObject) | Use | MouseDelay | 0.4
Hydraulics (UnityEngine.GameObject) | Use | TruckRPM | 0
Hydraulics (UnityEngine.GameObject) | Pump | TruckRPM | 0
Hydraulics (UnityEngine.GameObject) | Pump | Waste | 0
ParticleSim (UnityEngine.GameObject) | Logic | Distance | 0
ParticleSim (UnityEngine.GameObject) | Logic | MaxEnergy | -4.991713E-09
ParticleSim (UnityEngine.GameObject) | Logic | Thrust | 0
ShutOff (UnityEngine.GameObject) | Use | Distance | 0
InitializeControls (UnityEngine.GameObject) | Setup | DZBrake | 0.01
InitializeControls (UnityEngine.GameObject) | Setup | DZClutch | 0.01
InitializeControls (UnityEngine.GameObject) | Setup | DZHandbrake | -99
InitializeControls (UnityEngine.GameObject) | Setup | DZHorizontal | 0.01
InitializeControls (UnityEngine.GameObject) | Setup | DZThrottle | 0.01
InitializeControls (UnityEngine.GameObject) | Setup | DZVertical | 0.01
pedal_clutch (UnityEngine.GameObject) | FSM | Data | 0
RadioTuner (UnityEngine.GameObject) | Knob | Rot | 500
RadioTuner (UnityEngine.GameObject) | Knob | Scroll | 0
RadioTuner (UnityEngine.GameObject) | Knob | Tune | 0.05
DashboardMeters (UnityEngine.GameObject) | Data | Time | 0
Piston2 (UnityEngine.GameObject) | Data | Time | 0
PlayerShitTrigger (UnityEngine.GameObject) | Death | Distance | 0
Hubcap_RL (UnityEngine.GameObject) | Data | Time | 0
Trigger (UnityEngine.GameObject) | Use | Y | 0
Airbrakes (UnityEngine.GameObject) | Air Pressure | Pressure | 870
Airbrakes (UnityEngine.GameObject) | Air Pressure | RPM | 0
Airbrakes (UnityEngine.GameObject) | Parking Brake | Brake | 0
Airbrakes (UnityEngine.GameObject) | Parking Brake | BrakeRate | 2
Airbrakes (UnityEngine.GameObject) | Parking Brake | Pressure | 0
Airbrakes (UnityEngine.GameObject) | Parking Brake | Rate | 0
Airbrakes (UnityEngine.GameObject) | ActivateBrake | Data | 0
Airbrakes (UnityEngine.GameObject) | ActivateBrake | Pressure | 0
HAYOSIKO(1500kg) (UnityEngine.GameObject) | LOD | Distance | 7.659529
HAYOSIKO(1500kg) (UnityEngine.GameObject) | LOD | LOD | 200
HAYOSIKO(1500kg) (UnityEngine.GameObject) | LOD | Y | -0.2735666
Bumper_Front (UnityEngine.GameObject) | Data | Time | 0
Pivot (UnityEngine.GameObject) | Scale | Scale | 0.06234563
Automatic (UnityEngine.GameObject) | 3 speed | Brake | 0
Automatic (UnityEngine.GameObject) | 3 speed | GearDOWN | 0
Automatic (UnityEngine.GameObject) | 3 speed | RPM | 0
Automatic (UnityEngine.GameObject) | 3 speed | RPMCurrent | 0
Automatic (UnityEngine.GameObject) | 3 speed | ShiftMaxRPM | 4300
Automatic (UnityEngine.GameObject) | 3 speed | ShiftMinRPM | 4000
Automatic (UnityEngine.GameObject) | 3 speed | Throttle | 0
Automatic (UnityEngine.GameObject) | 3 speed | UpShiftRPM | 0
Alternator (UnityEngine.GameObject) | Data | Time | 0
Fuel (UnityEngine.GameObject) | FuelLine | Consumption | 20000
Fuel (UnityEngine.GameObject) | FuelLine | FuelLevel | 259.4379
Fuel (UnityEngine.GameObject) | FuelLine | FuelUsage | 0
Fuel (UnityEngine.GameObject) | FuelLine | RPM | 0
Fuel (UnityEngine.GameObject) | FuelLine | RandomRPM | 0
Fuel (UnityEngine.GameObject) | FuelLine | RandomTime | 0
Fuel (UnityEngine.GameObject) | FuelLine | Throttle | 0.12
Logic (UnityEngine.GameObject) | Logic | Distance | 3182.138
Logic (UnityEngine.GameObject) | Logic | Wait | 723.925
Logic (UnityEngine.GameObject) | Logic | Y | -5.027
RadioTuner (UnityEngine.GameObject) | Knob | Rot | 910
RadioTuner (UnityEngine.GameObject) | Knob | Scroll | 0
RadioTuner (UnityEngine.GameObject) | Knob | Tune | 0.091
Headers (UnityEngine.GameObject) | Data | Time | 0
Choke (UnityEngine.GameObject) | Choke | ChokeLevel | 0
Choke (UnityEngine.GameObject) | Choke | ChokeMultiplier | 1.8
Choke (UnityEngine.GameObject) | Choke | Multiplier | 1
Choke (UnityEngine.GameObject) | Use | Choke | 0
Choke (UnityEngine.GameObject) | Use | KnobPos | 0
Fuel (UnityEngine.GameObject) | Fuel | Level | 0
Fuel (UnityEngine.GameObject) | Fuel | Rotation | 0
Radio (UnityEngine.GameObject) | Data | Time | 0
Subwoofer_panel (UnityEngine.GameObject) | Data | Time | 0
TandemAxleSetup (UnityEngine.GameObject) | SetTravel | DrivePos | 0.48
TandemAxleSetup (UnityEngine.GameObject) | SetTravel | DrivePosDown | 0.5
TandemAxleSetup (UnityEngine.GameObject) | SetTravel | DrivePosUp | 0.48
TandemAxleSetup (UnityEngine.GameObject) | SetTravel | TandemPos | 0.5
TandemAxleSetup (UnityEngine.GameObject) | SetTravel | TandemPosDown | 0.46
TandemAxleSetup (UnityEngine.GameObject) | SetTravel | TandemPosUp | 0.5
TandemAxleSetup (UnityEngine.GameObject) | SetTravel | Time | 3
TandemAxleSetup (UnityEngine.GameObject) | SetTravel | Travel | 0.03
TandemAxleSetup (UnityEngine.GameObject) | SetTravel | TravelDown | 0.15
TandemAxleSetup (UnityEngine.GameObject) | SetTravel | TravelUp | 0.03
CrouchTrigger (UnityEngine.GameObject) | PlayerTrigger | Multiplier | 0
CrouchTrigger (UnityEngine.GameObject) | PlayerTrigger | Temp | 0
Distributor (UnityEngine.GameObject) | Data | Time | 0
CameraPivot (UnityEngine.GameObject) | Strafe | X | 0
log(Clone) (UnityEngine.GameObject) | Check joint | Money | 6
Clock (UnityEngine.GameObject) | Time | Hours24X | -0.1
Clock (UnityEngine.GameObject) | Time | Minutes24X | -1.2
Flares_FR (UnityEngine.GameObject) | Data | Time | 0
log(Clone) (UnityEngine.GameObject) | Check joint | Money | 6
Bed (UnityEngine.GameObject) | Lift | HydraulicForce | 0
Bed (UnityEngine.GameObject) | Lift | Rot | 0
2 (UnityEngine.GameObject) | LOD | Distance | 1729.252
2 (UnityEngine.GameObject) | LOD | LOD | 800
Clock (UnityEngine.GameObject) | Time | Hours24X | -0.1
Clock (UnityEngine.GameObject) | Time | Minutes24X | -1.2
RockerShaft (UnityEngine.GameObject) | Data | Max | 8
RockerShaft (UnityEngine.GameObject) | Data | Min | 4
RockerShaft (UnityEngine.GameObject) | Data | cyl1exhaust | 7.5
RockerShaft (UnityEngine.GameObject) | Data | cyl1intake | 8
RockerShaft (UnityEngine.GameObject) | Data | cyl2exhaust | 7.5
RockerShaft (UnityEngine.GameObject) | Data | cyl2intake | 8
RockerShaft (UnityEngine.GameObject) | Data | cyl3exhaust | 7.5
RockerShaft (UnityEngine.GameObject) | Data | cyl3intake | 8
RockerShaft (UnityEngine.GameObject) | Data | cyl4exhaust | 7.5
RockerShaft (UnityEngine.GameObject) | Data | cyl4intake | 8
Route (UnityEngine.GameObject) | Start | Distance | 1902.895
Route (UnityEngine.GameObject) | Start | Lane | 0
TRAIN (UnityEngine.GameObject) | Move | Delay | 150
TRAIN (UnityEngine.GameObject) | Whistle | Distance | 271.6012
TRAIN (UnityEngine.GameObject) | TunnelAudio | East | 380.1398
TRAIN (UnityEngine.GameObject) | TunnelAudio | West | 3287.134
RadiatorHose2 (UnityEngine.GameObject) | Data | Time | 0
doorear (UnityEngine.GameObject) | Use | RayDistance | 1.5
doorear (UnityEngine.GameObject) | Use | Rotation | 0
Paikallisradio (UnityEngine.GameObject) | Play | Wait | 602
AirIntake (UnityEngine.GameObject) | InWater | Distance | 0
AirIntake (UnityEngine.GameObject) | InWater | Pos | 0.1185697
Piston3 (UnityEngine.GameObject) | Data | Time | 0
Bumper_Rear (UnityEngine.GameObject) | Data | Time | 0
pedal_throttle (UnityEngine.GameObject) | FSM | Data | 0
Starter (UnityEngine.GameObject) | Starter | Fuel | 0
Starter (UnityEngine.GameObject) | Starter | GlowPlugHeatSpeed | 3.6
Starter (UnityEngine.GameObject) | Starter | PlugHeat | 0
Starter (UnityEngine.GameObject) | Starter | StartTime | 0
Starter (UnityEngine.GameObject) | Starter | TruckRPM | 0
FuelTank (UnityEngine.GameObject) | Data | FuelLevel | 32.57723
FuelTank (UnityEngine.GameObject) | Data | Mass | 0
FuelTank (UnityEngine.GameObject) | Data | MaxCapacity | 65
Fuel (UnityEngine.GameObject) | Fuel | Rotation | -59.45202
Fuel (UnityEngine.GameObject) | Fuel | TruckFuel | 258.4379
KEKMET(350-400psi) (UnityEngine.GameObject) | LOD | Distance | 11.46964
KEKMET(350-400psi) (UnityEngine.GameObject) | LOD | LOD | 200
KEKMET(350-400psi) (UnityEngine.GameObject) | LOD | Y | -0.1211001
CanTrigger (UnityEngine.GameObject) | Logic | Bottles | 0
CanTrigger (UnityEngine.GameObject) | Logic | Distance | 0
CanTrigger (UnityEngine.GameObject) | Logic | KiljuAlc | 0
CanTrigger (UnityEngine.GameObject) | Logic | KiljuValue | 0
CanTrigger (UnityEngine.GameObject) | Logic | KiljuVinegar | 0
CanTrigger (UnityEngine.GameObject) | Logic | KiljuYeast | 0
CanTrigger (UnityEngine.GameObject) | Logic | Price | 0
RearIK (UnityEngine.GameObject) | CalculateAngle | Tire1pos | -0.08616969
RearIK (UnityEngine.GameObject) | CalculateAngle | Tire2pos | -0.07191956
RearIK (UnityEngine.GameObject) | CalculateAngle | TireAngle | 0.6003253
RearIK (UnityEngine.GameObject) | CalculateAngle | Travel | -0.01425013
RearIK (UnityEngine.GameObject) | CalculateAngle | Wheelbase | 1.36
Options (UnityEngine.GameObject) | GFX | DrawDistance | 3000
Options (UnityEngine.GameObject) | GFX | FOV | 60
Options (UnityEngine.GameObject) | Controls | FFBMultiplier | 100
Options (UnityEngine.GameObject) | Controls | MouseSensitivityX | 30
Options (UnityEngine.GameObject) | Controls | MouseSensitivityX100 | 3
Options (UnityEngine.GameObject) | Controls | MouseSensitivityY | 30
Options (UnityEngine.GameObject) | Controls | MouseSensitivityY100 | 3
Options (UnityEngine.GameObject) | Controls | SteeringAidMinVelo | 20
Options (UnityEngine.GameObject) | Controls | SteeringRotation | 450
Options (UnityEngine.GameObject) | Controls | SteeringRotationFull | 900
Options (UnityEngine.GameObject) | Controls | SteeringTime | 0.003352963
Options (UnityEngine.GameObject) | Controls | SteeringTimeFull | 0.3352963
Options (UnityEngine.GameObject) | Controls | SteeringVeloTime | 0
Options (UnityEngine.GameObject) | Controls | SteeringVeloTimeFull | 0
Animations (UnityEngine.GameObject) | Logic | Distance | 0
WheelRacingRL (UnityEngine.GameObject) | Data | SettingRimRadius | 0.175
WheelRacingRL (UnityEngine.GameObject) | Data | SettingTireRadius | 0
WheelRacingRL (UnityEngine.GameObject) | Data | SettingTireWidth | 0
bucket(itemx) (UnityEngine.GameObject) | Use | Alcohol | 0.08539999
bucket(itemx) (UnityEngine.GameObject) | Use | BrewTime | 680
bucket(itemx) (UnityEngine.GameObject) | Use | Mass | 0
bucket(itemx) (UnityEngine.GameObject) | Use | Math0 | 0.68
bucket(itemx) (UnityEngine.GameObject) | Use | Math1 | 1.261765
bucket(itemx) (UnityEngine.GameObject) | Use | Math2 | 15.14118
bucket(itemx) (UnityEngine.GameObject) | Use | Sugar | 6
bucket(itemx) (UnityEngine.GameObject) | Use | SugarWaterRatio | 0
bucket(itemx) (UnityEngine.GameObject) | Use | Sweetness | 0.2
bucket(itemx) (UnityEngine.GameObject) | Use | Time | 429
bucket(itemx) (UnityEngine.GameObject) | Use | Vinegar | 0
bucket(itemx) (UnityEngine.GameObject) | Use | Water | 30
bucket(itemx) (UnityEngine.GameObject) | Use | Yeast | 1
bucket(itemx) (UnityEngine.GameObject) | Mass | Mass | 30
bucket(itemx) (UnityEngine.GameObject) | Empty | Angle | 315.0622
bucket(itemx) (UnityEngine.GameObject) | Empty | Water | 0
WheelSteelFL (UnityEngine.GameObject) | Data | SettingRimRadius | 0.165
WheelSteelFL (UnityEngine.GameObject) | Data | SettingTireRadius | 0.2715
WheelSteelFL (UnityEngine.GameObject) | Data | SettingTireWidth | 0.145
TriggerIn (UnityEngine.GameObject) | Trigger | Distance | 0
BusStopLoppe (UnityEngine.GameObject) | Stopping | Distance | 1888.489
AirIntake (UnityEngine.GameObject) | InWater | Pos | 0.6257403
AirIntake (UnityEngine.GameObject) | InWater | WaterLevel | -4.5
AirIntake (UnityEngine.GameObject) | InWater | Distance | 0
trigger_seat_passenger (UnityEngine.GameObject) | Assembly | InitialJointForce | 900
Pivot (UnityEngine.GameObject) | Rotation | Delay | 5
Pivot (UnityEngine.GameObject) | Rotation | Rotation | 30.75
Pivot (UnityEngine.GameObject) | Rotation | RotationSpeed | 0.25
Pivot (UnityEngine.GameObject) | Rotation | TimeScale | 600
RadioVolume (UnityEngine.GameObject) | Knob | Rot | 0
RadioVolume (UnityEngine.GameObject) | Knob | Scroll | 0
RadioVolume (UnityEngine.GameObject) | Knob | Tune | 0.05
RadioVolume (UnityEngine.GameObject) | Knob | Volume | 0
Sleep (UnityEngine.GameObject) | Activate | FadeTime | 4
Sleep (UnityEngine.GameObject) | Activate | GameVolume | 0
Sleep (UnityEngine.GameObject) | Activate | Rate | 0
Coll (UnityEngine.GameObject) | Use | RayDistance | 1.5
Coll (UnityEngine.GameObject) | Use | Rotation | 297.3646
DrunkLifter (UnityEngine.GameObject) | Logic | Distance | 0
DrunkLifter (UnityEngine.GameObject) | Logic | Random | 0
Timingcover (UnityEngine.GameObject) | Data | Time | 0
HouseShit3 (UnityEngine.GameObject) | LOD | Distance | 1809.479
HouseShit3 (UnityEngine.GameObject) | LOD | LOD | 400
RadioTuner (UnityEngine.GameObject) | Knob | Rot | 500
RadioTuner (UnityEngine.GameObject) | Knob | Scroll | 0
RadioTuner (UnityEngine.GameObject) | Knob | Tune | 0.05
fuel line(xxxxx) (UnityEngine.GameObject) | BoltCheck | BoltedNO | 0
fuel line(xxxxx) (UnityEngine.GameObject) | BoltCheck | BoltedYES | 8
fuel line(xxxxx) (UnityEngine.GameObject) | BoltCheck | Tightness | 8
BucketTrigger (UnityEngine.GameObject) | Level | Pos | 0.2692985
Pivot (UnityEngine.GameObject) | Scale | Scale | 0.07151848
Oilpan (UnityEngine.GameObject) | Data | Oil | 2.657355
FluidTrigger (UnityEngine.GameObject) | Data | Fluid | 4
FluidTrigger (UnityEngine.GameObject) | Data | Mass | 7
FluidTrigger (UnityEngine.GameObject) | Data | X | 270
Carburator (UnityEngine.GameObject) | Data | Dirt | 10.42806
Carburator (UnityEngine.GameObject) | Data | IdleAdjust | 14
Carburator (UnityEngine.GameObject) | Data | Max | 18
Carburator (UnityEngine.GameObject) | Data | Min | 13
lift (UnityEngine.GameObject) | CheckLift | Y | 7.450581E-09
lift (UnityEngine.GameObject) | Movement | Pos | 2.759474E-09
Hubcap_FR (UnityEngine.GameObject) | Data | Time | 0
ShitLevelTrigger (UnityEngine.GameObject) | Level | ShitLevel | 2.208718
ShitLevelTrigger (UnityEngine.GameObject) | Level | ShitRate | 0.00391852
ShitLevelTrigger (UnityEngine.GameObject) | Level | Tolerance | 0.5
trigger_bucket_seat_passenger (UnityEngine.GameObject) | Assembly | InitialJointForce | 900
Speaker (UnityEngine.GameObject) | Settings | DistortionLevel | 0.2
Speaker (UnityEngine.GameObject) | Settings | Volume | 1
FuelTank (UnityEngine.GameObject) | Data | FuelLevel | 2.779944
FuelTank (UnityEngine.GameObject) | Data | Mass | 3.779944
FuelTank (UnityEngine.GameObject) | Data | MaxCapacity | 3.4
Flares_FL (UnityEngine.GameObject) | Data | Time | 0
ShitLevelTrigger (UnityEngine.GameObject) | Level | ShitLevel | 2.524529
ShitLevelTrigger (UnityEngine.GameObject) | Level | ShitRate | 0.006720214
ShitLevelTrigger (UnityEngine.GameObject) | Level | Tolerance | 0.5
WheelHayosikoRR (UnityEngine.GameObject) | Data | SettingRimRadius | 0.175
WheelHayosikoRR (UnityEngine.GameObject) | Data | SettingTireRadius | 0
WheelHayosikoRR (UnityEngine.GameObject) | Data | SettingTireWidth | 0
ClutchMasterCylinder (UnityEngine.GameObject) | Data | ClutchFluid | 0.5
Dashboard (UnityEngine.GameObject) | Data | Time | 0
Starter (UnityEngine.GameObject) | Starter | FuelLevel | 0
Starter (UnityEngine.GameObject) | Starter | RPM | 0
Starter (UnityEngine.GameObject) | Starter | StartTime | 0
INSPECTION (UnityEngine.GameObject) | LOD | Distance | 1981.249
INSPECTION (UnityEngine.GameObject) | LOD | LOD | 420
RALLY (UnityEngine.GameObject) | Reset | Distance | 0
3 (UnityEngine.GameObject) | LOD | Distance | 1921.349
3 (UnityEngine.GameObject) | LOD | LOD | 500
WheelSteelRR (UnityEngine.GameObject) | Data | SettingRimRadius | 0.165
WheelSteelRR (UnityEngine.GameObject) | Data | SettingTireRadius | 0.2715
WheelSteelRR (UnityEngine.GameObject) | Data | SettingTireWidth | 0.145
Order (UnityEngine.GameObject) | Data | Distance | 5.552322
Order (UnityEngine.GameObject) | Data | FinalGear | 0
Order (UnityEngine.GameObject) | Data | _FerndaleWait | 0
Order (UnityEngine.GameObject) | Data | _OrderTime | 5000
WheelRallyFR (UnityEngine.GameObject) | Data | SettingRimRadius | 0.175
WheelRallyFR (UnityEngine.GameObject) | Data | SettingTireRadius | 0.2875
WheelRallyFR (UnityEngine.GameObject) | Data | SettingTireWidth | 0.163
SUN (UnityEngine.GameObject) | Color | Minutes | 2.429467
SUN (UnityEngine.GameObject) | Color | MinutesAdd | 0.2
SUN (UnityEngine.GameObject) | Color | Timescale | 600
trigger_bumper_rear (UnityEngine.GameObject) | Assembly | InitialAttachForce | 200
Volume (UnityEngine.GameObject) | Knob | Scroll | 0
Volume (UnityEngine.GameObject) | Knob | Volume | 0.5
BoltPM (UnityEngine.GameObject) | Screw | Alignment | 8
BoltPM (UnityEngine.GameObject) | Screw | Max | 12
BoltPM (UnityEngine.GameObject) | Screw | Min | 1
Pivot (UnityEngine.GameObject) | Scale | Scale | 0.0024
TurnSignals (UnityEngine.GameObject) | Usage | Consumption | 0.008
TurnSignals (UnityEngine.GameObject) | Usage | DashVolume | 0.5
TurnSignals (UnityEngine.GameObject) | Usage | Delay | 0.4
TurnSignals (UnityEngine.GameObject) | Usage | WheelAngle | 0
Clouds (UnityEngine.GameObject) | Weather | Offset | 0.08503138
Clouds (UnityEngine.GameObject) | Weather | Pos | -14118.85
Clouds (UnityEngine.GameObject) | Weather | Pos2 | -1107.189
Clouds (UnityEngine.GameObject) | Weather | Rot | 86.72423
Clouds (UnityEngine.GameObject) | Weather | Speed | -4
Clouds (UnityEngine.GameObject) | Weather | X | 0
Clouds (UnityEngine.GameObject) | Weather | Z | 0
TriggerOut (UnityEngine.GameObject) | Trigger | Distance | 0
ExhaustMuffler (UnityEngine.GameObject) | Data | Time | 0
HouseShit2 (UnityEngine.GameObject) | LOD | Distance | 1706.195
HouseShit2 (UnityEngine.GameObject) | LOD | LOD | 300
BoltPM (UnityEngine.GameObject) | Screw | Alignment | 8
BoltPM (UnityEngine.GameObject) | Screw | Max | 12
BoltPM (UnityEngine.GameObject) | Screw | Min | 1
doorl (UnityEngine.GameObject) | Use | OldRot | 0
doorl (UnityEngine.GameObject) | Use | Rot | 0
doorl (UnityEngine.GameObject) | Use | Rotation | 0
Battery (UnityEngine.GameObject) | Data | Charge | 127
Battery (UnityEngine.GameObject) | Data | MaxVoltage | 150.956
FERNDALE(1630kg) (UnityEngine.GameObject) | LOD | Distance | 1699.199
FERNDALE(1630kg) (UnityEngine.GameObject) | LOD | LOD | 200
FERNDALE(1630kg) (UnityEngine.GameObject) | LOD | SteeringAidMinVelo | 20
FERNDALE(1630kg) (UnityEngine.GameObject) | LOD | SteeringRotation | 450
FERNDALE(1630kg) (UnityEngine.GameObject) | LOD | SteeringTime | 0.1
FERNDALE(1630kg) (UnityEngine.GameObject) | LOD | SteeringVeloTime | 0.05
FERNDALE(1630kg) (UnityEngine.GameObject) | LOD | Y | 4.7486
Hubcap_FL (UnityEngine.GameObject) | Data | Time | 0
Handles (UnityEngine.GameObject) | Use | OldRot | 0
Handles (UnityEngine.GameObject) | Use | Rot | 0
Handles (UnityEngine.GameObject) | Use | Rotation | 0
TriggerOut (UnityEngine.GameObject) | Trigger | Distance | 0
Brake (UnityEngine.GameObject) | Angle | Angle | 0
Brake (UnityEngine.GameObject) | Angle | Data | 0
Collider (UnityEngine.GameObject) | Use | OldRot | 0
Collider (UnityEngine.GameObject) | Use | Rotation | 0
JONNEZ ES(Clone) (UnityEngine.GameObject) | Brake | Brake | 0
JONNEZ ES(Clone) (UnityEngine.GameObject) | Brake | Clutch | 0
JONNEZ ES(Clone) (UnityEngine.GameObject) | Brake | FrictionTorque | 50
JONNEZ ES(Clone) (UnityEngine.GameObject) | AutoClutch | Brake | 0
JONNEZ ES(Clone) (UnityEngine.GameObject) | LOD | Distance | 75.41402
JONNEZ ES(Clone) (UnityEngine.GameObject) | LOD | LOD | 200
JONNEZ ES(Clone) (UnityEngine.GameObject) | LOD | Y | -1.3515
Temp (UnityEngine.GameObject) | Temp | RPM | 0
Temp (UnityEngine.GameObject) | Temp | Rotation | -15.52795
Temp (UnityEngine.GameObject) | Temp | Temp | 25
DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | MinimumRequiredVelocity | 0.3
DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | Speed | 0
DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloX | 0
DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloY | 0
DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloZ | 0
LitreGauge (UnityEngine.GameObject) | Gauge | Rotation | -67.08048
LitreGauge (UnityEngine.GameObject) | Gauge | Waste | 2312.935
Fuelpump (UnityEngine.GameObject) | Data | Time | 0
Fixes (UnityEngine.GameObject) | Brake | Brake | 0
Fixes (UnityEngine.GameObject) | Brake | BrakeFixRate | 0.3
Fixes (UnityEngine.GameObject) | Brake | Clutch | 0
Fixes (UnityEngine.GameObject) | Brake | FrictionTorque | 30
Fixes (UnityEngine.GameObject) | Brake | Speed | 0
SATSUMA(557kg) (UnityEngine.GameObject) | Setup | Distance | 6.951628
SATSUMA(557kg) (UnityEngine.GameObject) | Setup | LOD | 200
SATSUMA(557kg) (UnityEngine.GameObject) | Setup | Y | -0.09547439
Headgasket (UnityEngine.GameObject) | Data | Time | 0
WaterpumpPulley (UnityEngine.GameObject) | Data | Time | 0
Roll Cage (UnityEngine.GameObject) | Data | Mass | 0
Roll Cage (UnityEngine.GameObject) | Data | Weight | 55
Transmission (UnityEngine.GameObject) | Gears | Gear01 | 12.29
Transmission (UnityEngine.GameObject) | Gears | Gear02 | 8.56
Transmission (UnityEngine.GameObject) | Gears | Gear03 | 7.3
Transmission (UnityEngine.GameObject) | Gears | Gear04 | 6.05
Transmission (UnityEngine.GameObject) | Gears | Gear05 | 5.16
Transmission (UnityEngine.GameObject) | Gears | Gear06 | 4.38
Transmission (UnityEngine.GameObject) | Gears | Gear07 | 3.74
Transmission (UnityEngine.GameObject) | Gears | Gear08 | 3.2
Transmission (UnityEngine.GameObject) | Gears | Gear09 | 2.73
Transmission (UnityEngine.GameObject) | Gears | Gear10 | 2.29
Transmission (UnityEngine.GameObject) | Gears | Gear11 | 1.95
Transmission (UnityEngine.GameObject) | Gears | Gear12 | 1.38
Transmission (UnityEngine.GameObject) | Gears | Ratio | 50
Transmission (UnityEngine.GameObject) | Gears | RearEndRatio | 3.1
Transmission (UnityEngine.GameObject) | Change | Clutch | 0
opener (UnityEngine.GameObject) | Knob | Knob | 0
opener (UnityEngine.GameObject) | Knob | Rot | 0
opener (UnityEngine.GameObject) | Knob | Scroll | 0
opener (UnityEngine.GameObject) | Knob | X | 0
opener (UnityEngine.GameObject) | Knob | Y | 0
WheelRallyRL (UnityEngine.GameObject) | Data | SettingRimRadius | 0.175
WheelRallyRL (UnityEngine.GameObject) | Data | SettingTireRadius | 0.2875
WheelRallyRL (UnityEngine.GameObject) | Data | SettingTireWidth | 0.163
wheelRR (UnityEngine.GameObject) | SetGrip | GripForward | 1.15
wheelRR (UnityEngine.GameObject) | SetGrip | GripSideways | 1.15
wheelRR (UnityEngine.GameObject) | Data | GripForward | 1.15
wheelRR (UnityEngine.GameObject) | Data | GripSideways | 1.15
Trigger (UnityEngine.GameObject) | Usage | Angle | 0
Rear_spoiler (UnityEngine.GameObject) | Data | Time | 0
GaugeClock (UnityEngine.GameObject) | Data | Time | 0
Subtitles (UnityEngine.GameObject) | SetText | NewLenght | 0
BOAT (UnityEngine.GameObject) | Y Velocity | Velo | 0.1946374
BOAT (UnityEngine.GameObject) | Y Velocity | Y | -4.519841
