Database | Timingchain (UnityEngine.GameObject) | Data | Time | 0
GIFU(750/450psi) | Starter (UnityEngine.GameObject) | Starter | StartTime | 0
GIFU(750/450psi) | Starter (UnityEngine.GameObject) | Starter | TruckRPM | 0
KEKMET(350-400psi) | FuelTank (UnityEngine.GameObject) | Data | FuelLevel | 32.57723
KEKMET(350-400psi) | FuelTank (UnityEngine.GameObject) | Data | Mass | 0
KEKMET(350-400psi) | FuelTank (UnityEngine.GameObject) | Data | MaxCapacity | 65
GIFU(750/450psi) | Fuel (UnityEngine.GameObject) | Fuel | Rotation | -59.45202
GIFU(750/450psi) | Fuel (UnityEngine.GameObject) | Fuel | TruckFuel | 258.4379
KEKMET(350-400psi) | KEKMET(350-400psi) (UnityEngine.GameObject) | LOD | Distance | 19.22702
KEKMET(350-400psi) | KEKMET(350-400psi) (UnityEngine.GameObject) | LOD | LOD | 200
KEKMET(350-400psi) | KEKMET(350-400psi) (UnityEngine.GameObject) | LOD | Y | 0
JOBS | CanTrigger (UnityEngine.GameObject) | Logic | Bottles | 0
JOBS | CanTrigger (UnityEngine.GameObject) | Logic | Distance | 0
JOBS | CanTrigger (UnityEngine.GameObject) | Logic | KiljuAlc | 0
JOBS | CanTrigger (UnityEngine.GameObject) | Logic | KiljuValue | 0
JOBS | CanTrigger (UnityEngine.GameObject) | Logic | KiljuVinegar | 0
JOBS | CanTrigger (UnityEngine.GameObject) | Logic | KiljuYeast | 0
JOBS | CanTrigger (UnityEngine.GameObject) | Logic | Price | 0
NPC_CARS | RearIK (UnityEngine.GameObject) | CalculateAngle | Tire1pos | -0.05658326
NPC_CARS | RearIK (UnityEngine.GameObject) | CalculateAngle | Tire2pos | -0.09180981
NPC_CARS | RearIK (UnityEngine.GameObject) | CalculateAngle | TireAngle | -1.483737
NPC_CARS | RearIK (UnityEngine.GameObject) | CalculateAngle | Travel | 0.03522655
NPC_CARS | RearIK (UnityEngine.GameObject) | CalculateAngle | Wheelbase | 1.36
Systems | Options (UnityEngine.GameObject) | GFX | DrawDistance | 3000
Systems | Options (UnityEngine.GameObject) | GFX | FOV | 60
Systems | Options (UnityEngine.GameObject) | Controls | FFBMultiplier | 100
Systems | Options (UnityEngine.GameObject) | Controls | MouseSensitivityX | 30
Systems | Options (UnityEngine.GameObject) | Controls | MouseSensitivityX100 | 3
Systems | Options (UnityEngine.GameObject) | Controls | MouseSensitivityY | 30
Systems | Options (UnityEngine.GameObject) | Controls | MouseSensitivityY100 | 3
Systems | Options (UnityEngine.GameObject) | Controls | SteeringAidMinVelo | 20
Systems | Options (UnityEngine.GameObject) | Controls | SteeringRotation | 450
Systems | Options (UnityEngine.GameObject) | Controls | SteeringRotationFull | 900
Systems | Options (UnityEngine.GameObject) | Controls | SteeringTime | 0.003352963
Systems | Options (UnityEngine.GameObject) | Controls | SteeringTimeFull | 0.3352963
Systems | Options (UnityEngine.GameObject) | Controls | SteeringVeloTime | 0
Systems | Options (UnityEngine.GameObject) | Controls | SteeringVeloTimeFull | 0
NPC_CARS | Animations (UnityEngine.GameObject) | Logic | Distance | 0
Database | WheelRacingRL (UnityEngine.GameObject) | Data | SettingRimRadius | 0.175
Database | WheelRacingRL (UnityEngine.GameObject) | Data | SettingTireRadius | 0
Database | WheelRacingRL (UnityEngine.GameObject) | Data | SettingTireWidth | 0
ITEMS | bucket(itemx) (UnityEngine.GameObject) | Use | Alcohol | 0.08840001
ITEMS | bucket(itemx) (UnityEngine.GameObject) | Use | BrewTime | 680
ITEMS | bucket(itemx) (UnityEngine.GameObject) | Use | Mass | 0
ITEMS | bucket(itemx) (UnityEngine.GameObject) | Use | Math0 | 0.68
ITEMS | bucket(itemx) (UnityEngine.GameObject) | Use | Math1 | 1.305882
ITEMS | bucket(itemx) (UnityEngine.GameObject) | Use | Math2 | 15.67059
ITEMS | bucket(itemx) (UnityEngine.GameObject) | Use | Sugar | 6
ITEMS | bucket(itemx) (UnityEngine.GameObject) | Use | SugarWaterRatio | 0
ITEMS | bucket(itemx) (UnityEngine.GameObject) | Use | Sweetness | 0.2
ITEMS | bucket(itemx) (UnityEngine.GameObject) | Use | Time | 444
ITEMS | bucket(itemx) (UnityEngine.GameObject) | Use | Vinegar | 0
ITEMS | bucket(itemx) (UnityEngine.GameObject) | Use | Water | 30
ITEMS | bucket(itemx) (UnityEngine.GameObject) | Use | Yeast | 1
ITEMS | bucket(itemx) (UnityEngine.GameObject) | Mass | Mass | 30
ITEMS | bucket(itemx) (UnityEngine.GameObject) | Empty | Angle | 315.0622
ITEMS | bucket(itemx) (UnityEngine.GameObject) | Empty | Water | 0
Database | WheelSteelFL (UnityEngine.GameObject) | Data | SettingRimRadius | 0.165
Database | WheelSteelFL (UnityEngine.GameObject) | Data | SettingTireRadius | 0.2715
Database | WheelSteelFL (UnityEngine.GameObject) | Data | SettingTireWidth | 0.145
TRAFFIC | TriggerIn (UnityEngine.GameObject) | Trigger | Distance | 0
TRAFFIC | BusStopLoppe (UnityEngine.GameObject) | Stopping | Distance | 1906.658
GIFU(750/450psi) | AirIntake (UnityEngine.GameObject) | InWater | Pos | 0.6275973
GIFU(750/450psi) | AirIntake (UnityEngine.GameObject) | InWater | WaterLevel | -4.5
GIFU(750/450psi) | AirIntake (UnityEngine.GameObject) | InWater | Distance | 0
SATSUMA(557kg) | trigger_seat_passenger (UnityEngine.GameObject) | Assembly | InitialJointForce | 900
MAP | Pivot (UnityEngine.GameObject) | Rotation | Delay | 5
MAP | Pivot (UnityEngine.GameObject) | Rotation | Rotation | 90.5
MAP | Pivot (UnityEngine.GameObject) | Rotation | RotationSpeed | 0.25
MAP | Pivot (UnityEngine.GameObject) | Rotation | TimeScale | 600
HAYOSIKO(1500kg) | Cooling (UnityEngine.GameObject) | Cooling | Cooling | 0
HAYOSIKO(1500kg) | Cooling (UnityEngine.GameObject) | Cooling | Heat | 0
HAYOSIKO(1500kg) | Cooling (UnityEngine.GameObject) | Cooling | HeatGeneration | 10000
HAYOSIKO(1500kg) | Cooling (UnityEngine.GameObject) | Cooling | VanEngineTemp | 25
HAYOSIKO(1500kg) | Cooling (UnityEngine.GameObject) | Cooling | VanRPM | 0
HAYOSIKO(1500kg) | Cooling (UnityEngine.GameObject) | Cooling | VanSpeed | 0
HAYOSIKO(1500kg) | Cooling (UnityEngine.GameObject) | Cooling | WaterLevel | 4
GIFU(750/450psi) | RadioVolume (UnityEngine.GameObject) | Knob | Rot | 0
GIFU(750/450psi) | RadioVolume (UnityEngine.GameObject) | Knob | Scroll | 0
GIFU(750/450psi) | RadioVolume (UnityEngine.GameObject) | Knob | Tune | 0.05
GIFU(750/450psi) | RadioVolume (UnityEngine.GameObject) | Knob | Volume | 0
COTTAGE | Sleep (UnityEngine.GameObject) | Activate | FadeTime | 4
COTTAGE | Sleep (UnityEngine.GameObject) | Activate | GameVolume | 0
COTTAGE | Sleep (UnityEngine.GameObject) | Activate | Rate | 0
JONNEZ ES(Clone) | AirIntake (UnityEngine.GameObject) | InWater | Distance | 0
JONNEZ ES(Clone) | AirIntake (UnityEngine.GameObject) | InWater | Pos | -1.294295
JONNEZ ES(Clone) | AirIntake (UnityEngine.GameObject) | InWater | WaterLevel | -4.5
YARD | Coll (UnityEngine.GameObject) | Use | RayDistance | 1.5
YARD | Coll (UnityEngine.GameObject) | Use | Rotation | 297.365
JONNEZ ES(Clone) | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | MinimumRequiredVelocity | 0.15
JONNEZ ES(Clone) | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | Rot | 0
JONNEZ ES(Clone) | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | Speed | 0
JONNEZ ES(Clone) | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloX | 0
JONNEZ ES(Clone) | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloY | 0
JONNEZ ES(Clone) | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloZ | 0
DrunkLifter | DrunkLifter (UnityEngine.GameObject) | Logic | Distance | 0
DrunkLifter | DrunkLifter (UnityEngine.GameObject) | Logic | Random | 0
Database | Timingcover (UnityEngine.GameObject) | Data | Time | 0
JOBS | HouseShit3 (UnityEngine.GameObject) | LOD | Distance | 1806.436
JOBS | HouseShit3 (UnityEngine.GameObject) | LOD | LOD | 400
GIFU(750/450psi) | RadioTuner (UnityEngine.GameObject) | Knob | Rot | 500
GIFU(750/450psi) | RadioTuner (UnityEngine.GameObject) | Knob | Scroll | 0
GIFU(750/450psi) | RadioTuner (UnityEngine.GameObject) | Knob | Tune | 0.05
KEKMET(350-400psi) | Fuel (UnityEngine.GameObject) | Fuel | Rotation | 45.10644
SATSUMA(557kg) | fuel line(xxxxx) (UnityEngine.GameObject) | BoltCheck | BoltedNO | 0
SATSUMA(557kg) | fuel line(xxxxx) (UnityEngine.GameObject) | BoltCheck | BoltedYES | 8
SATSUMA(557kg) | fuel line(xxxxx) (UnityEngine.GameObject) | BoltCheck | Tightness | 8
ITEMS | BucketTrigger (UnityEngine.GameObject) | Level | Pos | 0.2692985
HAYOSIKO(1500kg) | NeedleTemp (UnityEngine.GameObject) | Temp | RPM | 0
HAYOSIKO(1500kg) | NeedleTemp (UnityEngine.GameObject) | Temp | Rotation | 12.5
HAYOSIKO(1500kg) | NeedleTemp (UnityEngine.GameObject) | Temp | Temp | 25
GUI | Pivot (UnityEngine.GameObject) | Scale | Scale | 0.09968443
Database | Oilpan (UnityEngine.GameObject) | Data | Oil | 2.652389
ITEMS | FluidTrigger (UnityEngine.GameObject) | Data | Fluid | 4
ITEMS | FluidTrigger (UnityEngine.GameObject) | Data | Mass | 7
ITEMS | FluidTrigger (UnityEngine.GameObject) | Data | X | 270
HAYOSIKO(1500kg) | TurnSignals (UnityEngine.GameObject) | Usage | DashVolume | 0.5
HAYOSIKO(1500kg) | TurnSignals (UnityEngine.GameObject) | Usage | Delay | 0.4
HAYOSIKO(1500kg) | TurnSignals (UnityEngine.GameObject) | Usage | Volume | 0
HAYOSIKO(1500kg) | TurnSignals (UnityEngine.GameObject) | Usage | WheelAngle | 0
Database | Carburator (UnityEngine.GameObject) | Data | Dirt | 10.42806
Database | Carburator (UnityEngine.GameObject) | Data | IdleAdjust | 14
Database | Carburator (UnityEngine.GameObject) | Data | Max | 18
Database | Carburator (UnityEngine.GameObject) | Data | Min | 13
ITEMS | lift (UnityEngine.GameObject) | CheckLift | Y | 7.450581E-09
ITEMS | lift (UnityEngine.GameObject) | Movement | Pos | 2.759474E-09
Database | Hubcap_FR (UnityEngine.GameObject) | Data | Time | 0
JOBS | ShitLevelTrigger (UnityEngine.GameObject) | Level | ShitLevel | 2.259414
JOBS | ShitLevelTrigger (UnityEngine.GameObject) | Level | ShitRate | 0.005063416
JOBS | ShitLevelTrigger (UnityEngine.GameObject) | Level | Tolerance | 0.5
HAYOSIKO(1500kg) | Fuel (UnityEngine.GameObject) | FuelLine | Consumption | 350000
HAYOSIKO(1500kg) | Fuel (UnityEngine.GameObject) | FuelLine | FuelLevel | 29.8915
HAYOSIKO(1500kg) | Fuel (UnityEngine.GameObject) | FuelLine | FuelUsage | 0
HAYOSIKO(1500kg) | Fuel (UnityEngine.GameObject) | FuelLine | RandomRPM | 0
HAYOSIKO(1500kg) | Fuel (UnityEngine.GameObject) | FuelLine | RandomTime | 0
HAYOSIKO(1500kg) | Fuel (UnityEngine.GameObject) | FuelLine | VanRPM | 0
SATSUMA(557kg) | trigger_bucket_seat_passenger (UnityEngine.GameObject) | Assembly | InitialJointForce | 900
FERNDALE(1630kg) | Speaker (UnityEngine.GameObject) | Settings | DistortionLevel | 0.2
FERNDALE(1630kg) | Speaker (UnityEngine.GameObject) | Settings | Volume | 1
JONNEZ ES(Clone) | FuelTank (UnityEngine.GameObject) | Data | FuelLevel | 2.779944
JONNEZ ES(Clone) | FuelTank (UnityEngine.GameObject) | Data | Mass | 3.779944
JONNEZ ES(Clone) | FuelTank (UnityEngine.GameObject) | Data | MaxCapacity | 3.4
Database | Flares_FL (UnityEngine.GameObject) | Data | Time | 0
JOBS | ShitLevelTrigger (UnityEngine.GameObject) | Level | ShitLevel | 2.572226
JOBS | ShitLevelTrigger (UnityEngine.GameObject) | Level | ShitRate | 0.002248257
JOBS | ShitLevelTrigger (UnityEngine.GameObject) | Level | Tolerance | 0.5
Database | WheelHayosikoRR (UnityEngine.GameObject) | Data | SettingRimRadius | 0.175
Database | WheelHayosikoRR (UnityEngine.GameObject) | Data | SettingTireRadius | 0
Database | WheelHayosikoRR (UnityEngine.GameObject) | Data | SettingTireWidth | 0
Database | ClutchMasterCylinder (UnityEngine.GameObject) | Data | ClutchFluid | 0.5
Database | Dashboard (UnityEngine.GameObject) | Data | Time | 0
FERNDALE(1630kg) | Starter (UnityEngine.GameObject) | Starter | FuelLevel | 0
FERNDALE(1630kg) | Starter (UnityEngine.GameObject) | Starter | RPM | 0
FERNDALE(1630kg) | Starter (UnityEngine.GameObject) | Starter | StartTime | 0
INSPECTION | INSPECTION (UnityEngine.GameObject) | LOD | Distance | 1977.48
INSPECTION | INSPECTION (UnityEngine.GameObject) | LOD | LOD | 420
RALLY | RALLY (UnityEngine.GameObject) | Reset | Distance | 0
MAP | 3 (UnityEngine.GameObject) | LOD | Distance | 1916.747
MAP | 3 (UnityEngine.GameObject) | LOD | LOD | 500
Database | WheelSteelRR (UnityEngine.GameObject) | Data | SettingRimRadius | 0.165
Database | WheelSteelRR (UnityEngine.GameObject) | Data | SettingTireRadius | 0.2715
Database | WheelSteelRR (UnityEngine.GameObject) | Data | SettingTireWidth | 0.145
REPAIRSHOP | Order (UnityEngine.GameObject) | Data | Distance | 5.551473
REPAIRSHOP | Order (UnityEngine.GameObject) | Data | FinalGear | 0
REPAIRSHOP | Order (UnityEngine.GameObject) | Data | _FerndaleWait | 0
REPAIRSHOP | Order (UnityEngine.GameObject) | Data | _OrderTime | 5000
Database | WheelRallyFR (UnityEngine.GameObject) | Data | SettingRimRadius | 0.175
Database | WheelRallyFR (UnityEngine.GameObject) | Data | SettingTireRadius | 0.2875
Database | WheelRallyFR (UnityEngine.GameObject) | Data | SettingTireWidth | 0.163
MAP | SUN (UnityEngine.GameObject) | Color | Minutes | 1.862488
MAP | SUN (UnityEngine.GameObject) | Color | MinutesAdd | 0.2
MAP | SUN (UnityEngine.GameObject) | Color | Timescale | 600
SATSUMA(557kg) | trigger_bumper_rear (UnityEngine.GameObject) | Assembly | InitialAttachForce | 200
ITEMS | Volume (UnityEngine.GameObject) | Knob | Scroll | 0
ITEMS | Volume (UnityEngine.GameObject) | Knob | Volume | 0.5
SATSUMA(557kg) | BoltPM (UnityEngine.GameObject) | Screw | Alignment | 8
SATSUMA(557kg) | BoltPM (UnityEngine.GameObject) | Screw | Max | 12
SATSUMA(557kg) | BoltPM (UnityEngine.GameObject) | Screw | Min | 1
GUI | Pivot (UnityEngine.GameObject) | Scale | Scale | 0.0144
SATSUMA(557kg) | TurnSignals (UnityEngine.GameObject) | Usage | Consumption | 0.008
SATSUMA(557kg) | TurnSignals (UnityEngine.GameObject) | Usage | DashVolume | 0.5
SATSUMA(557kg) | TurnSignals (UnityEngine.GameObject) | Usage | Delay | 0.4
SATSUMA(557kg) | TurnSignals (UnityEngine.GameObject) | Usage | WheelAngle | 0
MAP | Clouds (UnityEngine.GameObject) | Weather | Offset | 0.0651871
MAP | Clouds (UnityEngine.GameObject) | Weather | Pos | 5898.045
MAP | Clouds (UnityEngine.GameObject) | Weather | Pos2 | -2967.925
MAP | Clouds (UnityEngine.GameObject) | Weather | Rot | 234.1638
MAP | Clouds (UnityEngine.GameObject) | Weather | Speed | -4
MAP | Clouds (UnityEngine.GameObject) | Weather | X | 0
MAP | Clouds (UnityEngine.GameObject) | Weather | Z | 0
TRAFFIC | TriggerOut (UnityEngine.GameObject) | Trigger | Distance | 0
JONNEZ ES(Clone) | FromEngine (UnityEngine.GameObject) | ExhaustSound | Emission | 0
JONNEZ ES(Clone) | FromEngine (UnityEngine.GameObject) | ExhaustSound | RPM | 0
JONNEZ ES(Clone) | FromEngine (UnityEngine.GameObject) | ExhaustSound | RPM2 | 0
JONNEZ ES(Clone) | FromEngine (UnityEngine.GameObject) | ExhaustSound | Throttle | 0
JONNEZ ES(Clone) | FromEngine (UnityEngine.GameObject) | ExhaustSound | Velocity | 0
Database | ExhaustMuffler (UnityEngine.GameObject) | Data | Time | 0
JOBS | HouseShit2 (UnityEngine.GameObject) | LOD | Distance | 1702.796
JOBS | HouseShit2 (UnityEngine.GameObject) | LOD | LOD | 300
SATSUMA(557kg) | BoltPM (UnityEngine.GameObject) | Screw | Alignment | 8
SATSUMA(557kg) | BoltPM (UnityEngine.GameObject) | Screw | Max | 12
SATSUMA(557kg) | BoltPM (UnityEngine.GameObject) | Screw | Min | 1
GIFU(750/450psi) | doorl (UnityEngine.GameObject) | Use | OldRot | 0
GIFU(750/450psi) | doorl (UnityEngine.GameObject) | Use | Rot | 0
GIFU(750/450psi) | doorl (UnityEngine.GameObject) | Use | Rotation | 0
Database | Battery (UnityEngine.GameObject) | Data | Charge | 127
Database | Battery (UnityEngine.GameObject) | Data | MaxVoltage | 150.968
FERNDALE(1630kg) | FERNDALE(1630kg) (UnityEngine.GameObject) | LOD | Distance | 1717.032
FERNDALE(1630kg) | FERNDALE(1630kg) (UnityEngine.GameObject) | LOD | LOD | 200
FERNDALE(1630kg) | FERNDALE(1630kg) (UnityEngine.GameObject) | LOD | SteeringAidMinVelo | 20
FERNDALE(1630kg) | FERNDALE(1630kg) (UnityEngine.GameObject) | LOD | SteeringRotation | 450
FERNDALE(1630kg) | FERNDALE(1630kg) (UnityEngine.GameObject) | LOD | SteeringTime | 0.1
FERNDALE(1630kg) | FERNDALE(1630kg) (UnityEngine.GameObject) | LOD | SteeringVeloTime | 0.05
FERNDALE(1630kg) | FERNDALE(1630kg) (UnityEngine.GameObject) | LOD | Y | 4.7486
Database | Hubcap_FL (UnityEngine.GameObject) | Data | Time | 0
KEKMET(350-400psi) | Tachometer (UnityEngine.GameObject) | RPM | Rotation | 0
FERNDALE(1630kg) | Handles (UnityEngine.GameObject) | Use | OldRot | 0
FERNDALE(1630kg) | Handles (UnityEngine.GameObject) | Use | Rot | 0
FERNDALE(1630kg) | Handles (UnityEngine.GameObject) | Use | Rotation | 0
TRAFFIC | TriggerOut (UnityEngine.GameObject) | Trigger | Distance | 0
GIFU(750/450psi) | Brake (UnityEngine.GameObject) | Angle | Angle | 0
GIFU(750/450psi) | Brake (UnityEngine.GameObject) | Angle | Data | 0
HAYOSIKO(1500kg) | Collider (UnityEngine.GameObject) | Use | OldRot | 0
HAYOSIKO(1500kg) | Collider (UnityEngine.GameObject) | Use | Rotation | 0
JONNEZ ES(Clone) | JONNEZ ES(Clone) (UnityEngine.GameObject) | Brake | Brake | 0
JONNEZ ES(Clone) | JONNEZ ES(Clone) (UnityEngine.GameObject) | Brake | Clutch | 0
JONNEZ ES(Clone) | JONNEZ ES(Clone) (UnityEngine.GameObject) | Brake | FrictionTorque | 50
JONNEZ ES(Clone) | JONNEZ ES(Clone) (UnityEngine.GameObject) | AutoClutch | Brake | 0
JONNEZ ES(Clone) | JONNEZ ES(Clone) (UnityEngine.GameObject) | LOD | Distance | 71.63966
JONNEZ ES(Clone) | JONNEZ ES(Clone) (UnityEngine.GameObject) | LOD | LOD | 200
JONNEZ ES(Clone) | JONNEZ ES(Clone) (UnityEngine.GameObject) | LOD | Y | 0
GIFU(750/450psi) | Temp (UnityEngine.GameObject) | Temp | RPM | 0
GIFU(750/450psi) | Temp (UnityEngine.GameObject) | Temp | Rotation | -15.52795
GIFU(750/450psi) | Temp (UnityEngine.GameObject) | Temp | Temp | 25
BOAT | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | MinimumRequiredVelocity | 0.3
BOAT | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | Speed | 0
BOAT | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloX | 0
BOAT | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloY | 0
BOAT | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloZ | 0
GIFU(750/450psi) | LitreGauge (UnityEngine.GameObject) | Gauge | Rotation | -67.08048
GIFU(750/450psi) | LitreGauge (UnityEngine.GameObject) | Gauge | Waste | 2312.935
Database | Fuelpump (UnityEngine.GameObject) | Data | Time | 0
SATSUMA(557kg) | Fixes (UnityEngine.GameObject) | Brake | Brake | 0
SATSUMA(557kg) | Fixes (UnityEngine.GameObject) | Brake | BrakeFixRate | 0.3
SATSUMA(557kg) | Fixes (UnityEngine.GameObject) | Brake | Clutch | 0
SATSUMA(557kg) | Fixes (UnityEngine.GameObject) | Brake | FrictionTorque | 30
SATSUMA(557kg) | Fixes (UnityEngine.GameObject) | Brake | Speed | 0
SATSUMA(557kg) | SATSUMA(557kg) (UnityEngine.GameObject) | Setup | Distance | 14.36687
SATSUMA(557kg) | SATSUMA(557kg) (UnityEngine.GameObject) | Setup | LOD | 200
SATSUMA(557kg) | SATSUMA(557kg) (UnityEngine.GameObject) | Setup | Y | 0
Database | Headgasket (UnityEngine.GameObject) | Data | Time | 0
Database | WaterpumpPulley (UnityEngine.GameObject) | Data | Time | 0
Database | Roll Cage (UnityEngine.GameObject) | Data | Mass | 0
Database | Roll Cage (UnityEngine.GameObject) | Data | Weight | 55
GIFU(750/450psi) | Transmission (UnityEngine.GameObject) | Gears | Gear01 | 12.29
GIFU(750/450psi) | Transmission (UnityEngine.GameObject) | Gears | Gear02 | 8.56
GIFU(750/450psi) | Transmission (UnityEngine.GameObject) | Gears | Gear03 | 7.3
GIFU(750/450psi) | Transmission (UnityEngine.GameObject) | Gears | Gear04 | 6.05
GIFU(750/450psi) | Transmission (UnityEngine.GameObject) | Gears | Gear05 | 5.16
GIFU(750/450psi) | Transmission (UnityEngine.GameObject) | Gears | Gear06 | 4.38
GIFU(750/450psi) | Transmission (UnityEngine.GameObject) | Gears | Gear07 | 3.74
GIFU(750/450psi) | Transmission (UnityEngine.GameObject) | Gears | Gear08 | 3.2
GIFU(750/450psi) | Transmission (UnityEngine.GameObject) | Gears | Gear09 | 2.73
GIFU(750/450psi) | Transmission (UnityEngine.GameObject) | Gears | Gear10 | 2.29
GIFU(750/450psi) | Transmission (UnityEngine.GameObject) | Gears | Gear11 | 1.95
GIFU(750/450psi) | Transmission (UnityEngine.GameObject) | Gears | Gear12 | 1.38
GIFU(750/450psi) | Transmission (UnityEngine.GameObject) | Gears | Ratio | 50
GIFU(750/450psi) | Transmission (UnityEngine.GameObject) | Gears | RearEndRatio | 3.1
GIFU(750/450psi) | Transmission (UnityEngine.GameObject) | Change | Clutch | 0
SATSUMA(557kg) | opener (UnityEngine.GameObject) | Knob | Knob | 0
SATSUMA(557kg) | opener (UnityEngine.GameObject) | Knob | Rot | 0
SATSUMA(557kg) | opener (UnityEngine.GameObject) | Knob | Scroll | 0
SATSUMA(557kg) | opener (UnityEngine.GameObject) | Knob | X | 0
SATSUMA(557kg) | opener (UnityEngine.GameObject) | Knob | Y | 0
Database | WheelRallyRL (UnityEngine.GameObject) | Data | SettingRimRadius | 0.175
Database | WheelRallyRL (UnityEngine.GameObject) | Data | SettingTireRadius | 0.2875
Database | WheelRallyRL (UnityEngine.GameObject) | Data | SettingTireWidth | 0.163
HAYOSIKO(1500kg) | NeedleFuel (UnityEngine.GameObject) | Temp | RPM | 0
HAYOSIKO(1500kg) | NeedleFuel (UnityEngine.GameObject) | Temp | Rotation | 59.783
HAYOSIKO(1500kg) | NeedleFuel (UnityEngine.GameObject) | Temp | VanFuel | 29.8915
SATSUMA(557kg) | wheelRR (UnityEngine.GameObject) | SetGrip | GripForward | 1.15
SATSUMA(557kg) | wheelRR (UnityEngine.GameObject) | SetGrip | GripSideways | 1.15
SATSUMA(557kg) | wheelRR (UnityEngine.GameObject) | Data | GripForward | 1.15
SATSUMA(557kg) | wheelRR (UnityEngine.GameObject) | Data | GripSideways | 1.15
ITEMS | Trigger (UnityEngine.GameObject) | Usage | Angle | 0
Database | Rear_spoiler (UnityEngine.GameObject) | Data | Time | 0
Database | GaugeClock (UnityEngine.GameObject) | Data | Time | 0
GUI | Subtitles (UnityEngine.GameObject) | SetText | NewLenght | 0
BOAT | BOAT (UnityEngine.GameObject) | Y Velocity | Velo | 0.1946328
BOAT | BOAT (UnityEngine.GameObject) | Y Velocity | Y | -4.51984
BOAT | BOAT (UnityEngine.GameObject) | LOD | Distance | 0
BOAT | BOAT (UnityEngine.GameObject) | LOD | LOD | 20
BOAT | BOAT (UnityEngine.GameObject) | Rise Front | ParticleVelo | -9.714066E-09
BOAT | BOAT (UnityEngine.GameObject) | Rise Front | Rot | -4.45228E-09
BOAT | BOAT (UnityEngine.GameObject) | Rise Front | Speed | 4.047527E-09
Database | CrankBearing2 (UnityEngine.GameObject) | Data | Time | 0
NPC_CARS | BUS (UnityEngine.GameObject) | Throttle | Brake | 0
NPC_CARS | BUS (UnityEngine.GameObject) | Throttle | CrashSpeed | 0
NPC_CARS | BUS (UnityEngine.GameObject) | Throttle | DeathSpeedMPS | 5
NPC_CARS | BUS (UnityEngine.GameObject) | Throttle | SpeedCurrent | 23.98306
NPC_CARS | BUS (UnityEngine.GameObject) | Throttle | SpeedMax | 84.47111
NPC_CARS | BUS (UnityEngine.GameObject) | Throttle | SpeedMin | 80
NPC_CARS | BUS (UnityEngine.GameObject) | Throttle | TargetSpeed | 0
NPC_CARS | BUS (UnityEngine.GameObject) | Throttle | ThrottleAccel | 1
NPC_CARS | BUS (UnityEngine.GameObject) | Throttle | ThrottleCruise | 0.43
NPC_CARS | BUS (UnityEngine.GameObject) | Throttle | Velo | 0
NPC_CARS | BUS (UnityEngine.GameObject) | Steering | Angle | 0.33806
NPC_CARS | BUS (UnityEngine.GameObject) | Steering | Angle2 | 0.01422951
NPC_CARS | BUS (UnityEngine.GameObject) | Steering | Lane | -2
NPC_CARS | BUS (UnityEngine.GameObject) | Steering | SpeedKMH | 23.98306
NPC_CARS | BUS (UnityEngine.GameObject) | LOD | Distance | 1917.341
NPC_CARS | BUS (UnityEngine.GameObject) | LOD | LOD | 200
ITEMS | Speaker (UnityEngine.GameObject) | Settings | DistortionLevel | 0.1
ITEMS | Speaker (UnityEngine.GameObject) | Settings | Volume | 0.5
FERNDALE(1630kg) | FuelTank (UnityEngine.GameObject) | Data | FuelLevel | 45
FERNDALE(1630kg) | FuelTank (UnityEngine.GameObject) | Data | Mass | 49
FERNDALE(1630kg) | FuelTank (UnityEngine.GameObject) | Data | MaxCapacity | 79
JONNEZ ES(Clone) | Suspension (UnityEngine.GameObject) | Suspension | Angle | 115.7569
JONNEZ ES(Clone) | Suspension (UnityEngine.GameObject) | Suspension | Angle2 | -115.7569
JONNEZ ES(Clone) | Suspension (UnityEngine.GameObject) | Suspension | Y | -0.08
SATSUMA(557kg) | wheelFL (UnityEngine.GameObject) | SetGrip | GripForward | 1.15
SATSUMA(557kg) | wheelFL (UnityEngine.GameObject) | SetGrip | GripSideways | 1.15
SATSUMA(557kg) | wheelFL (UnityEngine.GameObject) | Data | GripForward | 1.15
SATSUMA(557kg) | wheelFL (UnityEngine.GameObject) | Data | GripSideways | 1.15
Database | Subwoofer_Right (UnityEngine.GameObject) | Data | Time | 0
Database | Flywheel (UnityEngine.GameObject) | Data | Time | 0
KEKMET(350-400psi) | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | MinimumRequiredVelocity | 0.15
KEKMET(350-400psi) | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | Speed | 0
KEKMET(350-400psi) | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloX | 0
